ID,Comment
ham,시인 소설가 아쉽네
ham,아 썸네일 타투할머니인줄 알고눌렀네
ham,공고 도재반 들어가서 고2때부터 하면 경력으로 인정해주고 한달에 2주일 근무해서 한달에 50만원버는데 시인분들 많이 힘드시겠다
ham,첫브금 딴사람이 떠오르네
ham,이진욱 얼굴 멋있지만 목소리도 미쳤네
ham,블레이드 등장도 간지나죠
ham,가장힘든일을 하는데 가장돈을 못받는건 군인임
ham,1위 인정한다
ham,마지막 거 보고 다른 거도 못 믿겠다
ham,단두대 로 로베스트 피에르 가 루이 16세를 처형했지 그러면서 귀족들 도 단두대로 죽이며 공포정치 를 하였지만 그걸 나폴레옹 이 격파 했지
ham,와 사랑해요 와 사랑해요 와 사랑해요 와 사랑해요 와 사랑해요 와 사랑해요 와 사랑해요 와 사랑해요 와 사랑해요
ham,설문조사원 요새 사이비같은거 같은것도 많아서 힘든데
ham,비행기 추락 브금인뎅
ham,만 12살이 볼만한 만 12세 이용가 만화책좀 알려주세요
ham,진짜 유명한 작품들은 다 따라했구나
ham,신비아파트 브금
ham,닥터스톤 빼고 다 보고 있거나 본거네
ham,스타워즈가 진짜 아쉬운게 처음 개봉했을때부터 4-5-6을 연달아서 봐야 개쩌는데 한국 개봉에선 5편을 건너뛰어서 우리나라 팬들이 별로 안 생긴거같음
ham,아무것도 모르고스타워즈 시리즈 아임 유어파더는 내인생의 1등 입니다
ham,억 까튜브
ham,지금은 김프로
ham,대단한 눈매시네요
ham,뻑가 뉴스
ham,이 벌을 안받고 싶은면 죄을 지지마!!
ham,군대갔니 갔으면 전역했을텐데
ham,1위는 절대 노인정
ham,여기서 순위충 유투버 군대간듯
ham,이미 이세게부터 표절시작임
ham,재밌게 잘 봤습니다!
ham,능지처참이 없네 살점하나씩 칼로 베어내서 떼네고 죽지 않는곳만 골라서베어내서 최대한 오랫동안 고통주고  맨마지막에 죽이는건데
ham,이런거보면 다시 한번 드래곤볼의 대단함을 느끼게 된다
ham,솔직히 고소먹어도 할말없긴함
ham,해바라기 아저씨가 빠진게 아쉽네요
ham,이정재는 진짜 소름돋았음
ham,디카프리오 로미오와줄리엣에서 해변 걷는 장면도 얼굴이 미쳤던 장면입니다
ham,캬 트포 조커 스파이더맨 콜린퍼스 안톤쉬거 한니발렉터 캐리비안의해적 어벤져스
ham,뭐야 우마형도 넣어줘요
ham,10위는 메갈한테 아주 찰떡이누
ham,모두 멋있었지만 내 눈엔 엄태구
ham,에헤에 암살부분 나레이션 맘에등어서 구독!!
ham,헌병에서 빵터졌네
ham,그냥 대충 좀 봅시다
ham,어이 어이 유튜버양반 갓등분 내놔
ham,블랙클로버 개꿀잼인데
ham,상상해봤을땐 놋쇠황소가 가장 끔찍한거같음
ham,표빙 진격거도 표절함
ham,저런거 당할빠에 혓바닥 깨물어버릴꼬얌
ham,그는 좋은 순위충이였습니다
ham,마지막bgm치삼같다
ham,넌 나에게 목욕값을 줬어
ham,요즘 baccara 첫매 안주는곳 많은데 여기는 오퍼나준다는데 대박
ham,처먹는 소리좀내지마라 좀
ham,마지막에 경제적이라고 나오는데 목졸라 죽이는게 제일 경제적을듯
ham,웹소설 가는 대부분이 카카오페이지에만 올려도 돈 존나게 법니다
ham,확실히 다들 연령대가 어린층을 공략하는 느낌이랄까 에니메이션도 그렇고 노래나 먹방조차도 기본적으로 어린 친구들이 좋아하게 만들었음
ham,목소리 괘않타!
ham,이분 군대가셧습니자
ham,카톨릭으로부터 저랬어요
ham,이제평균3만불 넘었다는데
ham,역겹네
ham,킹스맨 없는거 아쉽네
ham,마지막은 유명한 옥의티죠
ham,수양대군 대박쓰
ham,마동석 장르 존나 뻔해서 노잼이여 무슨 아이언맨으로 맨날 시리즈 만드는데 뭔재미냐
ham,먹방 더럽게 많내 누가다 구독한거냐
ham,등장씬은 관상의 이정제!  말해뭐해
ham,매드맥스 기타맨 없는게 의외네
ham,단두대랑 개작두는 사형수입장에서는  가장 고통없이 죽이는 좋은도구지
ham,구독자수에비해서 조회수 안나오는애들은 뭐지 돈주고 구독자 산건가
ham,사회에 필요한 직업인데 돈을 적게 받는게 아니라 아무나 시켜도 조금만 배우면 할수있기에 수입이 적은겁니다
ham,형 근황좀 알려줘
ham,내 맘속 1위는 다크나이트 조커임
ham,조두순한테 저거 다 시켜보고 싶다
ham,쥬라기 공원 1편의 브론토 사우르스 등장씬!!!
ham,저럼에도 아직도 민족반역자 섹히들이 판치고 있음
ham,듣보잡 존나 많네
ham,이정도면 작가 유타임 모방술식 지리네
ham,블랙클로버 있나해서 왔더니 있네
ham,스토리밖에 모르겠나
ham,형 코로나 조심하고 10만 축하해
ham,집어치우고 나나밍 되살려 michin jacka야
ham,신과함께는 심각하네요
ham,그는 좇은 순위러 였슴미다
ham,극장에서 스타워즈 본 1인
ham,왜 다 들어본 브금이냐
ham,원피스는 표절하면 훨씬 더 티나서 안 했나
ham,국내였다면 수양대군이 1위긴 함
ham,내가 보는 채널은 하나도 없네
ham,헤헤튜브 어데갔노
ham,다른 유튜버 다 bgm 여깄는거 쓰던데
ham,역시 주류는 먹방이구나
ham,걍 씹상남자 관상인데 잘생긴거까지
ham,아놀드형은 코난더 바바리안때가 진짜
ham,1번 브금은 항공사고가 날 것 같은 브금
ham,라이타 저렇게 불붙게 할수 있어요
ham,오마주개념이지
ham,지금은 소맥이 14위네
ham,공룡이 없네
ham,그냥 노잼!!
ham,두사부일체
ham,김부선은 에휴
ham,쥬라기 공원 공룡등장씬 보면서 쇼킹했음
ham,먹는걸 방송으로 보여주는것도 웃긴데 구독자가 많은게 더웃김
ham,구래 하고 승비니 얘내들이 많다는건 세상엔 정상이 아닌사람들이 그만큼 늘었다는 증거
ham,Idonunderstand
ham,개인적으로는 캐릭터는 아니지만 주라기 공원에 공룡 등장씬도 충분히 순위권에 있을만해 보입니다
ham,수양대군을 이길수 없는 등장씬은 없는듯
ham,근디 국회의원보다 쓸모있는직업
ham,타짜최고
ham,전설의 주먹 굿
